icao,iata,nombre,ciudad,pais,tipo,lat,lon
AR-0001,,Cullen Airport,Cullen,AR,small_airport,-52.88574,-68.414956
AR-0002,,Estancia Los Cerros Airport,Estancia Los Cerros,AR,small_airport,-54.343,-67.837532
AR-0003,,Rio Bellavista Airport,Rio Bellavista,AR,small_airport,-53.98270034790039,-68.52359771728516
AR-0005,QRF,Bragado Airport,Bragado,AR,small_airport,-35.145811,-60.480294
AR-0006,,Los Rulos Airport,Casares,AR,small_airport,-28.933839,-62.792315
AR-0007,CVI,Caleta Olivia Airport,Caleta Olivia,AR,small_airport,-46.37428,-67.59409
AR-0008,,Aeroclub Chaco Airport,Resistencia,AR,small_airport,-27.6311,-59.1797
AR-0009,CNT,Charata Airport,Charata,AR,small_airport,-27.2164,-61.2103
AR-0010,VGS,General Villegas Airport,General Villegas,AR,small_airport,-34.995728,-62.999725
AR-0011,LMD,Los Menucos Airport,Los Menucos,AR,small_airport,-40.817699,-68.074699
AR-0012,,Aerofumigaciones Don Alejandro Airport,Coronel Bogado,AR,small_airport,-33.306157,-60.656387
AR-0013,,Agro Servicio Yoris Airport,Gobernador Garmendia,AR,small_airport,-26.583055,-64.529724
AR-0014,,Agroaire Airport,Gancedo,AR,small_airport,-27.4978,-61.6586
AR-0017,VCF,Valcheta Airport,Valcheta,AR,small_airport,-40.700001,-66.150002
AR-0018,,Villa Mercedes Airport,Villa Mercedes,AR,small_airport,-33.640858,-65.420074
AR-0019,,13 De Diciembre Airport,Comodoro Rivadavia,AR,small_airport,-45.90417,-67.559295
AR-0021,,Acindar Airport,Villa Constitución,AR,small_airport,-33.2647,-60.2842
AR-0022,,Aeroboero Airport,Morteros,AR,small_airport,-30.7286,-62.0078
AR-0023,,Bahía Blanca Aeroclub Airport,Bahía Blanca,AR,small_airport,-38.672059,-62.352846
AR-0024,,Balcarce Aeroclub Airport,Balcarce,AR,small_airport,-37.9156,-58.3442
AR-0025,,Cipoletti Aeroclub Airport,Cipoletti,AR,small_airport,-38.8931007385,-67.9886016846
AR-0026,,Olavarria Aeroclub Airport,Olavarria,AR,small_airport,-36.9644012451,-60.2757987976
AR-0027,,Rauch Airport,Rauch,AR,small_airport,-36.771887,-59.057837
AR-0028,,Tandil Aeroclub Airport,Tandil,AR,small_airport,-37.265598,-59.0933
AR-0029,,Aerotec Airport,Rivadavia,AR,small_airport,-33.206943512,-68.492225647
AR-0030,,Alagro Fumigaciones Airport,Funes,AR,small_airport,-32.8878,-60.8436
AR-0031,,San Andrés de Giles Airport,San Andrés de Giles,AR,small_airport,-34.470347,-59.42461
AR-0032,,Alejandro Roca Airport,Alejandro Roca,AR,small_airport,-33.3488998413,-63.7299995422
AR-0033,,Alfredo Sanchez Airport,General Pinto,AR,small_airport,-34.8011,-61.865
AR-0034,,Algarrobo/La Reforma Airport,Bahia Blanca,AR,small_airport,-38.7306,-63.2869
AR-0035,,Allen Airport,Allen,AR,small_airport,-38.958099365200006,-67.8035964966
AR-0036,,Alta Gracia Airport,Alta Gracia,AR,small_airport,-31.651399612400002,-64.39389801029999
AR-0037,,Alumine Airport,Alumine,AR,small_airport,-38.9502983093,-71.0492019653
AR-0038,,Alvear Airpark,Rosario,AR,small_airport,-33.0467,-60.5969
AR-0039,,Alvear Airport,Corrientes,AR,small_airport,-29.064722,-56.541111
AR-0040,,Ameghino Airport,Ameghino,AR,small_airport,-34.845619,-62.482648
AR-0041,,América Airport,Rivadavia,AR,small_airport,-35.5017,-62.99
AR-0042,,Añatuya Airport,Añatuya,AR,small_airport,-28.4797000885,-62.8457984924
AR-0043,,Andacollo Airport,Andacollo,AR,small_airport,-37.20333480834961,-70.69666290283203
AR-0044,,Anibal Brizi Airport,Esperanza,AR,small_airport,-31.4042,-60.8992
AR-0047,,Arrecifes Aeroclub Airport,Arrecifes,AR,small_airport,-34.079724,-60.046412
