provincia,organismo,matricula,hex,tipo,categoria,estado,confianza,titular_registrado,fuente,notas
Buenos Aires,Dirección de Aeronáutica (DAO),LV-WNS,E17393,MBB/Kawasaki BK-117 C-1,helicóptero,,MEDIA,Private,Zona Militar,Helicóptero sanitario/seguridad DAO
Buenos Aires,Dirección de Aeronáutica (DAO),LV-WRW,E17497,MBB/Kawasaki BK-117 C-1,helicóptero,,MEDIA,Private,Zona Militar,Helicóptero DAO
Buenos Aires,Dirección de Aeronáutica (DAO),LV-YBT,E19094,Eurocopter EC-135 T1,helicóptero,,MEDIA,Private,Zona Militar,Helicóptero DAO
Buenos Aires,Dirección de Aeronáutica (DAO),LV-WEJ,E1714A,Cessna 550 Citation II,avión,activo,ALTA,Governor of Buenos Aires Province,Airliners.net (álbum),S/N 550-0724. Jet oficial DAO
Buenos Aires,Ministerio de Salud de la Provincia,LQ-APX,,MBB BO-105 CBS,helicóptero,activo,ALTA,,Airliners.net (álbum),S/N S-558. Helicóptero sanitario
Buenos Aires,Dir. Prov. de Aeronavegación Oficial y Planif. Aeroportuaria,LV-WMI,E17349,Cessna 208B Grand Caravan,avión,activo,ALTA,Governor of Buenos Aires Province,aporte usuario (video),Misiones oficiales y traslados sanitarios
Buenos Aires,Dirección de Aeronáutica (DAO),,,Cessna 208B Grand Caravan,avión,,BAJA,,Zona Militar 2007,unidad adicional; matrícula a verificar
Buenos Aires,Dir. Prov. de Aeronavegación Oficial y Planif. Aeroportuaria,LV-MRU,,Cessna 441 Conquest,avión,dado de baja 2013,VERIF. ANAC,,Res. SGG Nº42/2013 (B.O. PBA),Cedido en 2013 a la Facultad de Ingeniería UNLP
Buenos Aires,Dir. Prov. de Aeronavegación Oficial y Planif. Aeroportuaria,LV-MMY,,Cessna 441 Conquest,avión,dado de baja 2013,VERIF. ANAC,,Res. SGG Nº42/2013 (B.O. PBA),Cedido en 2013 al Centro de Formación Profesional Nº403
Buenos Aires,Dir. Prov. de Aeronavegación Oficial y Planif. Aeroportuaria,LV-MRT,,Cessna 441 Conquest,avión,dado de baja 2013,VERIF. ANAC,,Res. SGG Nº42/2013 (B.O. PBA),Cedido en 2013 a la EEST Nº7 Taller Regional Quilmes
Buenos Aires,Dir. Prov. de Aeronavegación Oficial y Planif. Aeroportuaria,LV-WHI,,Eurocopter BO-105 CBS-4,helicóptero,dado de baja 2013,VERIF. ANAC,,Res. SGG Nº42/2013 (B.O. PBA),Cedido en 2013 a la Facultad de Ingeniería UNLP
Catamarca,Gobierno de Catamarca,LV-JWN,E0A5CE,Learjet 75,avión,activo,ALTA,Transportes Aereos Catamarca,La Nación 2024,Jet de la gobernación
